,B2,B3,B4,B5,B6,B7,type
0,2507,3810,4765,5574,6552,5743,Barren
1,1564,2434,3189,3790,4610,4183,Barren
2,1407,2227,2993,3650,4499,3954,Barren
3,1482,2357,3086,3614,4190,3767,Barren
4,1441,2325,3089,3642,4295,3824,Barren
5,1336,2184,2853,3352,4029,3622,Barren
6,1424,2321,3078,3625,4235,3791,Barren
7,1779,2707,3476,4022,4612,3990,Barren
8,1323,2133,2855,3370,4085,3447,Barren
9,1613,2503,3323,3955,4609,4084,Barren
10,1517,2449,3240,3816,4453,4044,Barren
11,1465,2367,3084,3645,4401,3928,Barren
12,1388,2282,3047,3651,4506,4185,Barren
13,1527,2469,3275,3872,4674,4266,Barren
14,1602,2573,3453,4183,5091,4527,Barren
15,1306,2252,3086,3764,5017,4394,Barren
16,1457,2413,3237,3881,4817,4359,Barren
17,1519,2471,3351,4049,4844,4099,Barren
18,1571,2541,3324,4012,4958,4370,Barren
19,1646,2613,3396,3931,4595,4200,Barren
20,1586,2634,3521,4205,5077,4629,Barren
21,1584,2511,3297,3894,4635,4157,Barren
22,1658,2575,3315,3813,4382,4002,Barren
23,1569,2521,3344,3920,4719,4245,Barren
24,1632,2548,3290,3810,4398,3979,Barren
25,1551,2512,3386,4051,4753,4279,Barren
26,1580,2607,3430,4048,4967,4494,Barren
27,1622,2759,3601,4315,5353,4611,Barren
28,1628,2648,3480,4026,4717,4129,Barren
29,1497,2219,2790,3196,3544,3170,Barren
30,1945,2927,3717,4240,4745,4199,Barren
31,1872,2994,3842,4422,4880,4149,Barren
32,2133,3278,4211,4902,5364,4446,Barren
33,1708,2514,3162,3690,4487,4049,Barren
34,1858,3045,3949,4515,5269,4514,Barren
35,2004,3156,3989,4516,5052,4141,Barren
36,1840,2769,3565,4194,4950,4381,Barren
37,2266,3475,4439,5206,6064,5303,Barren
