,B2,B3,B4,B5,B6,B7,type
0,1506,2348,3277,3998,4773,4188,Marked
1,1446,1990,2404,2577,2832,2632,Marked
2,910,1260,1480,1794,2093,1934,Marked
3,958,1465,1766,2175,1946,1854,Marked
4,800,978,1055,1435,1827,1674,Marked
5,801,1038,1176,1455,1697,1619,Marked
6,1215,1645,1950,2372,2572,2393,Marked
7,751,957,1125,1648,1763,1557,Marked
8,721,1038,1185,1950,1762,1401,Marked
9,933,1390,1605,2229,2181,1892,Marked
10,992,1305,1568,2010,2309,2092,Marked
11,1029,1384,1615,1974,2209,2078,Marked
12,873,1183,1420,1689,1908,1760,Marked
13,401,453,491,634,719,660,Marked
14,675,995,1123,1338,1373,1203,Marked
15,923,1285,1563,1921,2319,2223,Marked
16,774,1209,1345,2826,2461,1778,Marked
17,636,885,1072,1336,1657,1556,Marked
18,902,1433,1713,1966,2223,2096,Marked
19,900,1200,1458,1794,1806,1662,Marked
20,1095,1813,2123,2616,2254,1668,Marked
21,564,967,1094,2205,1698,1322,Marked
22,804,1095,1279,2008,2170,1993,Marked
23,569,845,983,1240,1331,1193,Marked
24,780,1090,1286,1438,1329,1276,Marked
