system:index,B2,B3,B4,B5,B6,B7,type
0,875,1188,1458,1732,1949,1845,Unmarked
1,739,1006,1182,1533,1763,1621,Unmarked
2,976,1256,1504,1875,2104,1934,Unmarked
3,996,1325,1574,1910,2395,2244,Unmarked
4,963,1218,1552,1872,2211,2267,Unmarked
5,926,1246,1549,1863,2200,2049,Unmarked
6,1030,1377,1655,1994,2293,2213,Unmarked
7,891,1213,1510,2079,2556,2292,Unmarked
8,994,1296,1584,2354,2654,2300,Unmarked
9,906,1221,1464,1989,2135,1919,Unmarked
10,1112,1448,1752,2261,2699,2508,Unmarked
11,1041,1439,1711,1986,2268,2131,Unmarked
12,816,1033,1255,1539,1976,1846,Unmarked
13,1026,1357,1670,2037,2410,2289,Unmarked
14,965,1288,1540,1835,2204,2023,Unmarked
15,855,1206,1468,1773,2030,1894,Unmarked
16,1021,1321,1601,1886,2191,2059,Unmarked
17,870,1178,1411,1653,1841,1740,Unmarked
18,947,1272,1549,1865,2122,1967,Unmarked
19,872,1207,1468,1815,2176,2035,Unmarked
20,1005,1312,1603,2073,2451,2297,Unmarked
21,962,1322,1629,1991,2353,2217,Unmarked
22,709,1017,1133,2067,1897,1672,Unmarked
23,807,1083,1306,1614,1901,1749,Unmarked
24,951,1289,1556,1881,2162,2005,Unmarked
25,940,1263,1476,2356,2387,2027,Unmarked
26,1051,1401,1724,2324,2641,2476,Unmarked
27,1042,1398,1687,1998,2237,2080,Unmarked
28,929,1200,1437,1792,2188,2038,Unmarked
29,1006,1346,1648,2015,2401,2300,Unmarked
30,859,1134,1376,1708,1921,1691,Unmarked
31,1014,1331,1645,2073,2327,2182,Unmarked
32,708,1027,1240,1682,1868,1701,Unmarked
33,962,1267,1537,1838,2216,2088,Unmarked
34,1176,1612,2004,2642,2791,2644,Unmarked
35,571,883,932,2785,2102,1434,Unmarked
36,941,1265,1526,1865,2276,2196,Unmarked
37,950,1297,1566,1901,2189,2063,Unmarked
38,1005,1357,1659,2003,2271,2036,Unmarked
39,940,1261,1540,1872,2297,2181,Unmarked
40,885,1205,1477,1880,2240,2054,Unmarked
41,1037,1456,1828,2266,2558,2361,Unmarked
42,804,1121,1395,1701,1979,1879,Unmarked
43,860,1229,1473,1712,1682,1607,Unmarked
44,1014,1405,1734,2052,2300,2200,Unmarked
45,857,1159,1397,1670,1842,1764,Unmarked
46,855,1187,1487,1879,2494,2379,Unmarked
47,1020,1375,1674,2020,2469,2305,Unmarked
48,939,1346,1615,1929,2186,2051,Unmarked
49,869,1229,1504,1815,2147,2044,Unmarked
50,960,1308,1579,1853,2331,2188,Unmarked
51,836,1157,1398,1671,1996,1904,Unmarked
52,848,1224,1479,1795,2146,1998,Unmarked
53,865,1196,1465,1994,2286,2061,Unmarked
54,976,1379,1695,2039,2358,2233,Unmarked
