,B2,B3,B4,B5,B6,B7,type
0,2507,3810,4765,5574,6552,5743,Barren
1,1564,2434,3189,3790,4610,4183,Barren
2,1407,2227,2993,3650,4499,3954,Barren
3,1482,2357,3086,3614,4190,3767,Barren
4,1441,2325,3089,3642,4295,3824,Barren
5,1336,2184,2853,3352,4029,3622,Barren
6,1424,2321,3078,3625,4235,3791,Barren
7,1779,2707,3476,4022,4612,3990,Barren
8,1323,2133,2855,3370,4085,3447,Barren
9,1613,2503,3323,3955,4609,4084,Barren
10,1517,2449,3240,3816,4453,4044,Barren
11,1465,2367,3084,3645,4401,3928,Barren
12,1388,2282,3047,3651,4506,4185,Barren
13,1527,2469,3275,3872,4674,4266,Barren
14,1602,2573,3453,4183,5091,4527,Barren
15,1306,2252,3086,3764,5017,4394,Barren
16,1457,2413,3237,3881,4817,4359,Barren
17,1519,2471,3351,4049,4844,4099,Barren
18,1571,2541,3324,4012,4958,4370,Barren
19,1646,2613,3396,3931,4595,4200,Barren
20,1586,2634,3521,4205,5077,4629,Barren
21,1584,2511,3297,3894,4635,4157,Barren
22,1658,2575,3315,3813,4382,4002,Barren
23,1569,2521,3344,3920,4719,4245,Barren
24,1632,2548,3290,3810,4398,3979,Barren
25,1551,2512,3386,4051,4753,4279,Barren
26,1580,2607,3430,4048,4967,4494,Barren
27,1622,2759,3601,4315,5353,4611,Barren
28,1628,2648,3480,4026,4717,4129,Barren
29,1497,2219,2790,3196,3544,3170,Barren
30,1945,2927,3717,4240,4745,4199,Barren
31,1872,2994,3842,4422,4880,4149,Barren
32,2133,3278,4211,4902,5364,4446,Barren
33,1708,2514,3162,3690,4487,4049,Barren
34,1858,3045,3949,4515,5269,4514,Barren
35,2004,3156,3989,4516,5052,4141,Barren
36,1840,2769,3565,4194,4950,4381,Barren
37,2266,3475,4439,5206,6064,5303,Barren
38,1506,2348,3277,3998,4773,4188,Marked
39,1446,1990,2404,2577,2832,2632,Marked
40,910,1260,1480,1794,2093,1934,Marked
41,958,1465,1766,2175,1946,1854,Marked
42,800,978,1055,1435,1827,1674,Marked
43,801,1038,1176,1455,1697,1619,Marked
44,1215,1645,1950,2372,2572,2393,Marked
45,751,957,1125,1648,1763,1557,Marked
46,721,1038,1185,1950,1762,1401,Marked
47,933,1390,1605,2229,2181,1892,Marked
48,992,1305,1568,2010,2309,2092,Marked
49,1029,1384,1615,1974,2209,2078,Marked
50,873,1183,1420,1689,1908,1760,Marked
51,401,453,491,634,719,660,Marked
52,675,995,1123,1338,1373,1203,Marked
53,923,1285,1563,1921,2319,2223,Marked
54,774,1209,1345,2826,2461,1778,Marked
55,636,885,1072,1336,1657,1556,Marked
56,902,1433,1713,1966,2223,2096,Marked
57,900,1200,1458,1794,1806,1662,Marked
58,1095,1813,2123,2616,2254,1668,Marked
59,564,967,1094,2205,1698,1322,Marked
60,804,1095,1279,2008,2170,1993,Marked
61,569,845,983,1240,1331,1193,Marked
62,780,1090,1286,1438,1329,1276,Marked
63,875,1188,1458,1732,1949,1845,Unmarked
64,739,1006,1182,1533,1763,1621,Unmarked
65,976,1256,1504,1875,2104,1934,Unmarked
66,996,1325,1574,1910,2395,2244,Unmarked
67,963,1218,1552,1872,2211,2267,Unmarked
68,926,1246,1549,1863,2200,2049,Unmarked
69,1030,1377,1655,1994,2293,2213,Unmarked
70,891,1213,1510,2079,2556,2292,Unmarked
71,994,1296,1584,2354,2654,2300,Unmarked
72,906,1221,1464,1989,2135,1919,Unmarked
73,1112,1448,1752,2261,2699,2508,Unmarked
74,1041,1439,1711,1986,2268,2131,Unmarked
75,816,1033,1255,1539,1976,1846,Unmarked
76,1026,1357,1670,2037,2410,2289,Unmarked
77,965,1288,1540,1835,2204,2023,Unmarked
78,855,1206,1468,1773,2030,1894,Unmarked
79,1021,1321,1601,1886,2191,2059,Unmarked
80,870,1178,1411,1653,1841,1740,Unmarked
81,947,1272,1549,1865,2122,1967,Unmarked
82,872,1207,1468,1815,2176,2035,Unmarked
83,1005,1312,1603,2073,2451,2297,Unmarked
84,962,1322,1629,1991,2353,2217,Unmarked
85,709,1017,1133,2067,1897,1672,Unmarked
86,807,1083,1306,1614,1901,1749,Unmarked
87,951,1289,1556,1881,2162,2005,Unmarked
88,940,1263,1476,2356,2387,2027,Unmarked
89,1051,1401,1724,2324,2641,2476,Unmarked
90,1042,1398,1687,1998,2237,2080,Unmarked
91,929,1200,1437,1792,2188,2038,Unmarked
92,1006,1346,1648,2015,2401,2300,Unmarked
93,859,1134,1376,1708,1921,1691,Unmarked
94,1014,1331,1645,2073,2327,2182,Unmarked
95,708,1027,1240,1682,1868,1701,Unmarked
96,962,1267,1537,1838,2216,2088,Unmarked
97,1176,1612,2004,2642,2791,2644,Unmarked
98,571,883,932,2785,2102,1434,Unmarked
99,941,1265,1526,1865,2276,2196,Unmarked
100,950,1297,1566,1901,2189,2063,Unmarked
101,1005,1357,1659,2003,2271,2036,Unmarked
102,940,1261,1540,1872,2297,2181,Unmarked
103,885,1205,1477,1880,2240,2054,Unmarked
104,1037,1456,1828,2266,2558,2361,Unmarked
105,804,1121,1395,1701,1979,1879,Unmarked
106,860,1229,1473,1712,1682,1607,Unmarked
107,1014,1405,1734,2052,2300,2200,Unmarked
108,857,1159,1397,1670,1842,1764,Unmarked
109,855,1187,1487,1879,2494,2379,Unmarked
110,1020,1375,1674,2020,2469,2305,Unmarked
111,939,1346,1615,1929,2186,2051,Unmarked
112,869,1229,1504,1815,2147,2044,Unmarked
113,960,1308,1579,1853,2331,2188,Unmarked
114,836,1157,1398,1671,1996,1904,Unmarked
115,848,1224,1479,1795,2146,1998,Unmarked
116,865,1196,1465,1994,2286,2061,Unmarked
117,976,1379,1695,2039,2358,2233,Unmarked
118,473,725,827,1631,1318,1078,Vegetation
119,441,732,451,4624,2017,956,Vegetation
120,348,644,540,2704,1469,793,Vegetation
121,324,571,481,3040,1485,755,Vegetation
122,354,552,507,2857,1522,849,Vegetation
123,415,723,702,2779,1351,872,Vegetation
124,347,620,524,2876,1490,820,Vegetation
125,327,520,498,2640,1501,838,Vegetation
126,347,692,500,3919,1795,933,Vegetation
127,438,791,560,4035,1846,948,Vegetation
128,380,709,546,3456,1727,920,Vegetation
129,597,824,856,3223,1734,1183,Vegetation
130,342,724,446,4361,2040,1002,Vegetation
131,318,625,556,2801,1038,656,Vegetation
132,382,671,582,2812,1481,817,Vegetation
133,382,658,488,3814,1643,860,Vegetation
134,378,674,515,3276,1741,946,Vegetation
135,455,769,469,4591,1999,972,Vegetation
136,439,754,640,2738,1682,1007,Vegetation
137,388,667,611,2591,1589,987,Vegetation
138,434,695,748,1923,1494,1098,Vegetation
139,407,753,573,3882,2013,1202,Vegetation
140,563,886,933,2719,1920,1413,Vegetation
141,513,784,708,2912,1656,1029,Vegetation
142,404,775,505,4430,1950,1004,Vegetation
143,444,732,445,4657,2002,973,Vegetation
144,291,595,430,3489,1313,668,Vegetation
145,282,569,421,3470,1251,644,Vegetation
146,456,732,480,4185,1940,970,Vegetation
147,329,664,448,4174,1604,774,Vegetation
148,349,696,473,4049,1649,797,Vegetation
149,302,590,445,3497,1430,736,Vegetation
150,365,668,458,3858,1541,779,Vegetation
151,435,704,523,3513,1781,952,Vegetation
152,429,770,663,3357,1809,1053,Vegetation
153,317,599,474,3368,1375,728,Vegetation
154,418,706,460,4330,1647,833,Vegetation
155,388,738,519,4091,1846,1024,Vegetation
156,365,753,491,4066,2073,1068,Vegetation
157,442,691,582,3511,1730,1024,Vegetation
158,424,700,530,3956,1728,898,Vegetation
