,value,type,band
1,2507,Barren,B2
2,1564,Barren,B2
3,1407,Barren,B2
4,1482,Barren,B2
5,1441,Barren,B2
6,1336,Barren,B2
7,1424,Barren,B2
8,1779,Barren,B2
9,1323,Barren,B2
10,1613,Barren,B2
11,1517,Barren,B2
12,1465,Barren,B2
13,1388,Barren,B2
14,1527,Barren,B2
15,1602,Barren,B2
16,1306,Barren,B2
17,1457,Barren,B2
18,1519,Barren,B2
19,1571,Barren,B2
20,1646,Barren,B2
21,1586,Barren,B2
22,1584,Barren,B2
23,1658,Barren,B2
24,1569,Barren,B2
25,1632,Barren,B2
26,1551,Barren,B2
27,1580,Barren,B2
28,1622,Barren,B2
29,1628,Barren,B2
30,1497,Barren,B2
31,1945,Barren,B2
32,1872,Barren,B2
33,2133,Barren,B2
34,1708,Barren,B2
35,1858,Barren,B2
36,2004,Barren,B2
37,1840,Barren,B2
38,2266,Barren,B2
39,1506,Marked,B2
40,1446,Marked,B2
41,910,Marked,B2
42,958,Marked,B2
43,800,Marked,B2
44,801,Marked,B2
45,1215,Marked,B2
46,751,Marked,B2
47,721,Marked,B2
48,933,Marked,B2
49,992,Marked,B2
50,1029,Marked,B2
51,873,Marked,B2
52,401,Marked,B2
53,675,Marked,B2
54,923,Marked,B2
55,774,Marked,B2
56,636,Marked,B2
57,902,Marked,B2
58,900,Marked,B2
59,1095,Marked,B2
60,564,Marked,B2
61,804,Marked,B2
62,569,Marked,B2
63,780,Marked,B2
64,875,Unmarked,B2
65,739,Unmarked,B2
66,976,Unmarked,B2
67,996,Unmarked,B2
68,963,Unmarked,B2
69,926,Unmarked,B2
70,1030,Unmarked,B2
71,891,Unmarked,B2
72,994,Unmarked,B2
73,906,Unmarked,B2
74,1112,Unmarked,B2
75,1041,Unmarked,B2
76,816,Unmarked,B2
77,1026,Unmarked,B2
78,965,Unmarked,B2
79,855,Unmarked,B2
80,1021,Unmarked,B2
81,870,Unmarked,B2
82,947,Unmarked,B2
83,872,Unmarked,B2
84,1005,Unmarked,B2
85,962,Unmarked,B2
86,709,Unmarked,B2
87,807,Unmarked,B2
88,951,Unmarked,B2
89,940,Unmarked,B2
90,1051,Unmarked,B2
91,1042,Unmarked,B2
92,929,Unmarked,B2
93,1006,Unmarked,B2
94,859,Unmarked,B2
95,1014,Unmarked,B2
96,708,Unmarked,B2
97,962,Unmarked,B2
98,1176,Unmarked,B2
99,571,Unmarked,B2
100,941,Unmarked,B2
101,950,Unmarked,B2
102,1005,Unmarked,B2
103,940,Unmarked,B2
104,885,Unmarked,B2
105,1037,Unmarked,B2
106,804,Unmarked,B2
107,860,Unmarked,B2
108,1014,Unmarked,B2
109,857,Unmarked,B2
110,855,Unmarked,B2
111,1020,Unmarked,B2
112,939,Unmarked,B2
113,869,Unmarked,B2
114,960,Unmarked,B2
115,836,Unmarked,B2
116,848,Unmarked,B2
117,865,Unmarked,B2
118,976,Unmarked,B2
119,473,Vegetation,B2
120,441,Vegetation,B2
121,348,Vegetation,B2
122,324,Vegetation,B2
123,354,Vegetation,B2
124,415,Vegetation,B2
125,347,Vegetation,B2
126,327,Vegetation,B2
127,347,Vegetation,B2
128,438,Vegetation,B2
129,380,Vegetation,B2
130,597,Vegetation,B2
131,342,Vegetation,B2
132,318,Vegetation,B2
133,382,Vegetation,B2
134,382,Vegetation,B2
135,378,Vegetation,B2
136,455,Vegetation,B2
137,439,Vegetation,B2
138,388,Vegetation,B2
139,434,Vegetation,B2
140,407,Vegetation,B2
141,563,Vegetation,B2
142,513,Vegetation,B2
143,404,Vegetation,B2
144,444,Vegetation,B2
145,291,Vegetation,B2
146,282,Vegetation,B2
147,456,Vegetation,B2
148,329,Vegetation,B2
149,349,Vegetation,B2
150,302,Vegetation,B2
151,365,Vegetation,B2
152,435,Vegetation,B2
153,429,Vegetation,B2
154,317,Vegetation,B2
155,418,Vegetation,B2
156,388,Vegetation,B2
157,365,Vegetation,B2
158,442,Vegetation,B2
159,424,Vegetation,B2
160,3810,Barren,B3
161,2434,Barren,B3
162,2227,Barren,B3
163,2357,Barren,B3
164,2325,Barren,B3
165,2184,Barren,B3
166,2321,Barren,B3
167,2707,Barren,B3
168,2133,Barren,B3
169,2503,Barren,B3
170,2449,Barren,B3
171,2367,Barren,B3
172,2282,Barren,B3
173,2469,Barren,B3
174,2573,Barren,B3
175,2252,Barren,B3
176,2413,Barren,B3
177,2471,Barren,B3
178,2541,Barren,B3
179,2613,Barren,B3
180,2634,Barren,B3
181,2511,Barren,B3
182,2575,Barren,B3
183,2521,Barren,B3
184,2548,Barren,B3
185,2512,Barren,B3
186,2607,Barren,B3
187,2759,Barren,B3
188,2648,Barren,B3
189,2219,Barren,B3
190,2927,Barren,B3
191,2994,Barren,B3
192,3278,Barren,B3
193,2514,Barren,B3
194,3045,Barren,B3
195,3156,Barren,B3
196,2769,Barren,B3
